       coarse                      fine        
1   0.842,0.837        1   0.821,0.814
2   0.850,0.845        2   0.827,0.819
3   0.851,0.846        3   0.826,0.821
4   0.849,0.842        4   0.828,0.820
5   0.851,0.846        5   0.828,0.820
6   0.855,0.852        6   0.827,0.816
7   0.856,0.853        7   0.829,0.817
8   0.854,0.851        8   0.835,0.821
9   0.858,0.855        9   0.837,0.828
10  0.857,0.854        10  0.834,0.827
11  0.857,0.855        11  0.838,0.827
12  0.857,0.855        12  0.837,0.833
13  0.859,0.856        13  0.840,0.831
14  0.857,0.856        14  0.840,0.831
15  0.859,0.858        15  0.841,0.833
16  0.859,0.858        16  0.844,0.841
17  0.859,0.859        17  0.843,0.844
18  0.860,0.860        18  0.838,0.841
19  0.861,0.862        19  0.840,0.843
20  0.861,0.862        20  0.842,0.848
21  0.861,0.862        21  0.844,0.850
22  0.857,0.859        22  0.856,0.856
23  0.860,0.860        23  0.854,0.855
24  0.859,0.860        24  0.855,0.854
25  0.859,0.861        25  0.856,0.857
26  0.860,0.862        26  0.858,0.861
27  0.866,0.864        27  0.857,0.859
28  0.866,0.864        28  0.857,0.859
29  0.866,0.864        29  0.858,0.861
30  0.866,0.864        30  0.861,0.867
31  0.868,0.865        31  0.861,0.868
32  0.869,0.866        32  0.862,0.869
33  0.869,0.866        33  0.866,0.871
34  0.871,0.867        34  0.867,0.872
35  0.871,0.867        35  0.869,0.874
36  0.870,0.866        36  0.867,0.872
37  0.873,0.869        37  0.866,0.870
38  0.873,0.868        38  0.868,0.870
39  0.872,0.868        39  0.868,0.870
40  0.876,0.868        40  0.869,0.871
41  0.875,0.868        41  0.871,0.874
42  0.875,0.868        42  0.871,0.874
43  0.874,0.868        43  0.871,0.876
44  0.875,0.868        44  0.875,0.879
45  0.873,0.866        45  0.873,0.878
46  0.875,0.868        46  0.873,0.879
47  0.875,0.868        47  0.873,0.880
48  0.875,0.867        48  0.872,0.879
49  0.878,0.871        49  0.872,0.879
50  0.876,0.868        50  0.875,0.881
51  0.877,0.869        51  0.875,0.881
52  0.877,0.870        52  0.874,0.881
53  0.877,0.869        53  0.874,0.880
54  0.879,0.872        54  0.874,0.882
55  0.879,0.872        55  0.877,0.883
56  0.879,0.872        56  0.878,0.884
