       coarse                      fine        
1   0.842,0.815        1   0.709,0.664
2   0.840,0.816        2   0.720,0.695
3   0.849,0.827        3   0.721,0.700
4   0.851,0.829        4   0.746,0.731
5   0.850,0.831        5   0.746,0.742
6   0.852,0.832        6   0.796,0.805
7   0.860,0.836        7   0.812,0.826
8   0.863,0.840        8   0.803,0.816
9   0.860,0.838        9   0.815,0.824
10  0.862,0.842        10  0.826,0.832
11  0.867,0.846        11  0.834,0.830
12  0.867,0.846        12  0.831,0.830
13  0.875,0.851        13  0.837,0.837
14  0.882,0.852        14  0.837,0.840
15  0.880,0.852        15  0.841,0.840
16  0.878,0.855        16  0.839,0.841
17  0.876,0.854        17  0.848,0.848
18  0.876,0.857        18  0.845,0.849
19  0.878,0.859        19  0.846,0.845
20  0.880,0.861        20  0.848,0.853
21  0.879,0.863        21  0.844,0.851
22  0.877,0.862        22  0.845,0.852
23  0.874,0.860        23  0.848,0.850
24  0.875,0.860        24  0.849,0.858
25  0.876,0.862        25  0.850,0.859
26  0.876,0.864        26  0.850,0.858
27  0.878,0.864        27  0.853,0.861
28  0.882,0.868        28  0.854,0.862
29  0.883,0.867        29  0.852,0.860
30  0.885,0.869        30  0.853,0.861
31  0.886,0.871        31  0.856,0.865
32  0.888,0.873        32  0.857,0.866
33  0.890,0.873        33  0.858,0.868
34  0.889,0.875        34  0.862,0.871
35  0.888,0.874        35  0.867,0.874
36  0.888,0.877        36  0.868,0.875
37  0.890,0.879        37  0.868,0.875
38  0.891,0.879        38  0.867,0.876
39  0.889,0.876        39  0.869,0.876
40  0.890,0.877        40  0.868,0.876
41  0.892,0.877        41  0.870,0.878
42  0.893,0.878        42  0.871,0.878
43  0.894,0.880        43  0.869,0.876
44  0.894,0.879        44  0.868,0.876
45  0.895,0.880        45  0.869,0.877
46  0.896,0.880        46  0.870,0.878
47  0.897,0.881        47  0.870,0.879
48  0.897,0.882        48  0.872,0.881
49  0.898,0.883        49  0.873,0.881
50  0.897,0.883        50  0.876,0.883
51  0.898,0.883        51  0.876,0.884
52  0.897,0.883        52  0.877,0.885
53  0.897,0.884        53  0.878,0.886
54  0.897,0.884        54  0.877,0.886
55  0.900,0.885        55  0.877,0.886
