       coarse                      fine        
1   0.848,0.842        1   0.795,0.794
2   0.854,0.844        2   0.796,0.793
3   0.854,0.847        3   0.798,0.794
4   0.854,0.846        4   0.805,0.800
5   0.853,0.844        5   0.809,0.802
6   0.856,0.847        6   0.813,0.806
7   0.863,0.849        7   0.817,0.815
8   0.864,0.850        8   0.824,0.822
9   0.865,0.851        9   0.823,0.825
10  0.866,0.852        10  0.828,0.832
11  0.870,0.858        11  0.836,0.837
12  0.871,0.857        12  0.841,0.843
13  0.868,0.856        13  0.844,0.845
14  0.870,0.858        14  0.844,0.846
15  0.873,0.859        15  0.844,0.846
16  0.874,0.861        16  0.845,0.846
17  0.873,0.863        17  0.846,0.848
18  0.868,0.862        18  0.848,0.851
19  0.867,0.860        19  0.849,0.851
20  0.869,0.862        20  0.848,0.851
21  0.869,0.863        21  0.853,0.858
22  0.869,0.863        22  0.854,0.857
23  0.869,0.862        23  0.859,0.863
24  0.872,0.865        24  0.858,0.863
25  0.874,0.866        25  0.856,0.861
26  0.873,0.867        26  0.858,0.862
27  0.872,0.865        27  0.861,0.861
28  0.872,0.866        28  0.860,0.863
29  0.873,0.867        29  0.860,0.864
30  0.874,0.868        30  0.865,0.867
31  0.875,0.868        31  0.867,0.868
32  0.874,0.870        32  0.867,0.869
33  0.874,0.870        33  0.869,0.871
34  0.876,0.871        34  0.870,0.871
35  0.876,0.871        35  0.870,0.872
36  0.875,0.870        36  0.868,0.871
37  0.875,0.870        37  0.872,0.873
38  0.874,0.869        38  0.872,0.873
39  0.873,0.869        39  0.876,0.878
40  0.873,0.869        40  0.873,0.876
41  0.873,0.869        41  0.877,0.879
42  0.873,0.870        42  0.877,0.879
43  0.875,0.872        43  0.876,0.880
44  0.877,0.873        44  0.876,0.880
45  0.878,0.874        45  0.872,0.876
46  0.880,0.876        46  0.873,0.875
47  0.881,0.875        47  0.874,0.875
48  0.882,0.876        48  0.876,0.877
49  0.881,0.876        49  0.872,0.873
50  0.884,0.878        50  0.870,0.874
51  0.885,0.878        51  0.870,0.874
52  0.885,0.881        52  0.870,0.875
53  0.886,0.881        53  0.869,0.873
54  0.886,0.882        54  0.868,0.874
55  0.884,0.881        55  0.863,0.870
56  0.883,0.881        56  0.863,0.871
57  0.885,0.881        57  0.865,0.873
58  0.887,0.884        58  0.865,0.873
59  0.886,0.884        59  0.867,0.874
60  0.888,0.885        60  0.868,0.875
61  0.887,0.886        61  0.866,0.868
62  0.887,0.885        62  0.867,0.869
63  0.888,0.886        63  0.866,0.873
64  0.889,0.887        64  0.865,0.873
65  0.890,0.888        65  0.864,0.872
66  0.890,0.888        66  0.867,0.875
67  0.891,0.888        67  0.871,0.877
68  0.892,0.888        68  0.872,0.878
69  0.891,0.887        69  0.874,0.878
70  0.893,0.888        70  0.876,0.880
71  0.894,0.888        71  0.878,0.880
72  0.894,0.887        72  0.878,0.880
73  0.893,0.886        73  0.878,0.880
74  0.893,0.887        74  0.878,0.881
75  0.893,0.888        75  0.876,0.880
76  0.892,0.887        76  0.875,0.880
77  0.892,0.887        77  0.875,0.880
