       coarse                      fine        
1   0.840,0.831        1   0.814,0.811
2   0.840,0.832        2   0.813,0.811
3   0.843,0.837        3   0.819,0.815
4   0.843,0.839        4   0.823,0.817
5   0.842,0.842        5   0.825,0.822
6   0.845,0.844        6   0.828,0.826
7   0.843,0.843        7   0.831,0.828
8   0.845,0.846        8   0.831,0.830
9   0.846,0.849        9   0.832,0.831
10  0.851,0.854        10  0.831,0.832
11  0.852,0.854        11  0.831,0.836
12  0.851,0.855        12  0.834,0.838
13  0.853,0.855        13  0.835,0.840
14  0.857,0.858        14  0.840,0.844
15  0.857,0.859        15  0.840,0.845
16  0.861,0.861        16  0.842,0.847
17  0.862,0.861        17  0.840,0.847
18  0.864,0.862        18  0.840,0.847
19  0.865,0.863        19  0.843,0.851
20  0.867,0.864        20  0.847,0.853
21  0.867,0.864        21  0.850,0.855
22  0.872,0.866        22  0.850,0.854
23  0.875,0.868        23  0.848,0.853
24  0.875,0.869        24  0.850,0.856
25  0.878,0.870        25  0.850,0.856
26  0.879,0.871        26  0.863,0.862
27  0.881,0.873        27  0.860,0.862
28  0.881,0.873        28  0.858,0.863
29  0.881,0.873        29  0.861,0.860
30  0.881,0.873        30  0.864,0.867
31  0.882,0.872        31  0.863,0.867
32  0.885,0.875        32  0.864,0.862
33  0.885,0.876        33  0.864,0.863
34  0.887,0.876        34  0.863,0.867
35  0.888,0.876        35  0.863,0.867
36  0.890,0.878        36  0.863,0.862
37  0.890,0.879        37  0.861,0.861
38  0.890,0.880        38  0.860,0.863
39  0.895,0.882        39  0.860,0.862
40  0.896,0.884        40  0.859,0.862
41  0.894,0.882        41  0.858,0.861
42  0.892,0.880        42  0.860,0.861
43  0.892,0.880        43  0.860,0.862
44  0.894,0.881        44  0.859,0.862
45  0.896,0.883        45  0.858,0.862
46  0.896,0.883        46  0.860,0.863
47  0.897,0.884        47  0.860,0.864
48  0.897,0.884        48  0.860,0.864
49  0.897,0.884        49  0.861,0.865
50  0.896,0.884        50  0.859,0.865
51  0.897,0.884        51  0.860,0.866
52  0.896,0.883        52  0.863,0.870
53  0.896,0.883        53  0.863,0.870
54  0.897,0.884        54  0.863,0.870
55  0.897,0.884        55  0.861,0.869
56  0.897,0.885        56  0.861,0.869
57  0.897,0.884        57  0.861,0.874
58  0.898,0.884        58  0.862,0.873
59  0.900,0.886        59  0.863,0.874
60  0.901,0.887        60  0.863,0.868
61  0.900,0.886        61  0.862,0.868
62  0.900,0.886        62  0.860,0.867
63  0.900,0.886        63  0.861,0.868
64  0.899,0.885        64  0.863,0.869
65  0.899,0.886        65  0.862,0.869
66  0.899,0.886        66  0.858,0.868
67  0.899,0.887        67  0.858,0.867
68  0.899,0.886        68  0.858,0.868
69  0.899,0.887        69  0.858,0.868
70  0.900,0.888        70  0.860,0.869
71  0.899,0.888        71  0.861,0.870
72  0.899,0.888        72  0.860,0.869
73  0.899,0.888        73  0.860,0.868
74  0.899,0.888        74  0.859,0.868
75  0.901,0.890        75  0.858,0.867
76  0.901,0.890        76  0.859,0.868
77  0.901,0.890        77  0.859,0.867
78  0.902,0.890        78  0.859,0.867
79  0.903,0.891        79  0.865,0.871
80  0.901,0.890        80  0.867,0.873
81  0.901,0.890        81  0.868,0.874
82  0.901,0.889        82  0.874,0.877
83  0.901,0.889        83  0.874,0.877
84  0.902,0.891        84  0.874,0.877
85  0.902,0.892        85  0.878,0.878
86  0.902,0.892        86  0.878,0.878
87  0.902,0.892        87  0.878,0.879
88  0.902,0.892        88  0.879,0.880
89  0.902,0.892        89  0.879,0.880
90  0.903,0.893        90  0.878,0.880
91  0.902,0.892        91  0.877,0.880
92  0.901,0.891        92  0.878,0.881
93  0.900,0.891        93  0.877,0.881
94  0.900,0.891        94  0.877,0.881
95  0.900,0.891        95  0.877,0.881
96  0.901,0.891        96  0.876,0.881
97  0.900,0.892        97  0.876,0.880
98  0.901,0.894        98  0.876,0.881
99  0.901,0.893        99  0.878,0.881
100 0.901,0.893        100 0.878,0.882
101 0.901,0.893        101 0.877,0.881
102 0.900,0.893        102 0.877,0.880
103 0.899,0.892        103 0.877,0.880
104 0.899,0.891        104 0.876,0.880
105 0.900,0.893        105 0.877,0.880
106 0.899,0.893        106 0.877,0.880
107 0.900,0.893        107 0.878,0.881
108 0.900,0.893        108 0.879,0.881
109 0.900,0.893        109 0.879,0.882
110 0.900,0.893        110 0.879,0.881
111 0.901,0.893        111 0.878,0.881
112 0.900,0.893        112 0.879,0.881
113 0.900,0.893        113 0.879,0.881
114 0.901,0.894        114 0.880,0.882
115 0.901,0.894        115 0.879,0.881
116 0.902,0.895        116 0.880,0.881
117 0.902,0.895        117 0.880,0.881
118 0.902,0.894        118 0.880,0.882
119 0.902,0.894        119 0.878,0.882
120 0.902,0.894        120 0.878,0.882
121 0.898,0.892        121 0.879,0.883
122 0.898,0.892        122 0.878,0.882
123 0.898,0.891        123 0.878,0.882
124 0.898,0.892        124 0.879,0.883
125 0.899,0.893        125 0.879,0.883
126 0.899,0.893        126 0.879,0.883
127 0.899,0.893        127 0.880,0.884
128 0.899,0.892        128 0.881,0.884
129 0.899,0.892        129 0.883,0.885
130 0.899,0.893        130 0.884,0.886
131 0.900,0.893        131 0.884,0.892
132 0.900,0.893        132 0.884,0.892
133 0.900,0.893        133 0.883,0.891
134 0.899,0.893        134 0.881,0.891
135 0.899,0.893        135 0.882,0.891
136 0.900,0.894        136 0.882,0.891
137 0.900,0.894        137 0.882,0.891
138 0.900,0.893        138 0.882,0.890
139 0.900,0.893        139 0.882,0.891
140 0.900,0.893        140 0.882,0.891
141 0.900,0.893        141 0.883,0.891
142 0.900,0.893        142 0.883,0.891
143 0.901,0.894        143 0.882,0.891
144 0.900,0.893        144 0.884,0.893
145 0.900,0.893        145 0.884,0.891
