       coarse                      fine        
1   0.843,0.843        1   0.818,0.816
2   0.844,0.845        2   0.807,0.805
3   0.845,0.846        3   0.816,0.816
4   0.843,0.846        4   0.811,0.817
5   0.843,0.846        5   0.813,0.820
6   0.843,0.846        6   0.814,0.824
7   0.842,0.846        7   0.815,0.827
8   0.844,0.846        8   0.811,0.832
9   0.847,0.848        9   0.814,0.837
10  0.848,0.847        10  0.821,0.845
11  0.846,0.845        11  0.821,0.848
12  0.845,0.845        12  0.820,0.848
13  0.841,0.837        13  0.823,0.850
14  0.841,0.839        14  0.828,0.856
15  0.843,0.840        15  0.831,0.853
16  0.843,0.841        16  0.845,0.867
17  0.845,0.843        17  0.847,0.870
18  0.851,0.849        18  0.848,0.871
19  0.850,0.846        19  0.851,0.873
20  0.849,0.845        20  0.850,0.873
21  0.850,0.843        21  0.855,0.876
22  0.850,0.843        22  0.858,0.877
23  0.850,0.842        23  0.861,0.874
24  0.851,0.842        24  0.860,0.879
25  0.851,0.843        25  0.856,0.871
26  0.845,0.839        26  0.856,0.872
27  0.846,0.837        27  0.857,0.872
28  0.845,0.837        28  0.856,0.872
29  0.845,0.836        29  0.856,0.872
30  0.848,0.840        30  0.860,0.875
31  0.852,0.844        31  0.862,0.876
32  0.851,0.844        32  0.862,0.876
33  0.854,0.847        33  0.860,0.875
34  0.858,0.851        34  0.862,0.876
35  0.864,0.854        35  0.862,0.876
36  0.863,0.854        36  0.864,0.877
37  0.864,0.854        37  0.866,0.879
38  0.865,0.854        38  0.866,0.884
39  0.866,0.855        39  0.867,0.884
40  0.863,0.853        40  0.866,0.883
41  0.862,0.852        41  0.866,0.883
42  0.861,0.852        42  0.868,0.884
43  0.856,0.846        43  0.869,0.884
44  0.859,0.848        44  0.868,0.883
45  0.859,0.848        45  0.871,0.885
46  0.860,0.849        46  0.872,0.886
47  0.860,0.851        47  0.872,0.885
48  0.858,0.849        48  0.873,0.886
49  0.862,0.853        49  0.874,0.886
50  0.861,0.852        50  0.873,0.886
51  0.861,0.851        51  0.874,0.887
52  0.860,0.851        52  0.874,0.887
53  0.860,0.850        53  0.872,0.886
54  0.864,0.853        54  0.872,0.885
55  0.863,0.852        55  0.872,0.886
56  0.866,0.855        56  0.871,0.885
57  0.866,0.855        57  0.872,0.886
58  0.869,0.855        58  0.874,0.887
59  0.869,0.856        59  0.876,0.889
60  0.868,0.855        60  0.876,0.889
61  0.866,0.855        61  0.876,0.889
62  0.864,0.852        62  0.875,0.888
63  0.864,0.852        63  0.877,0.889
64  0.867,0.855        64  0.877,0.890
65  0.868,0.856        65  0.877,0.890
66  0.867,0.856        66  0.880,0.892
67  0.867,0.856        67  0.881,0.892
68  0.867,0.855        68  0.880,0.891
69  0.866,0.855        69  0.881,0.892
70  0.865,0.853        70  0.882,0.887
71  0.864,0.852        71  0.880,0.892
72  0.865,0.852        72  0.880,0.892
73  0.865,0.852        73  0.881,0.887
74  0.866,0.853        74  0.881,0.887
75  0.866,0.853        75  0.882,0.887
76  0.866,0.853        76  0.881,0.887
77  0.866,0.852        77  0.881,0.887
78  0.866,0.850        78  0.882,0.887
79  0.866,0.850        79  0.881,0.887
80  0.866,0.849        80  0.882,0.887
81  0.864,0.848        81  0.882,0.888
82  0.864,0.848        82  0.882,0.888
83  0.868,0.850        83  0.882,0.888
84  0.868,0.851        84  0.882,0.888
85  0.870,0.852        85  0.882,0.888
86  0.870,0.853        86  0.883,0.888
87  0.870,0.853        87  0.883,0.889
88  0.871,0.854        88  0.881,0.887
89  0.871,0.855        89  0.882,0.887
90  0.871,0.855        90  0.883,0.888
91  0.872,0.856        91  0.882,0.888
92  0.872,0.856        92  0.883,0.888
93  0.878,0.858        93  0.883,0.888
94  0.878,0.858        94  0.883,0.888
95  0.878,0.857        95  0.884,0.888
96  0.878,0.859        96  0.886,0.889
97  0.878,0.859        97  0.886,0.889
98  0.879,0.860        98  0.886,0.889
99  0.879,0.860        99  0.886,0.889
100 0.878,0.859        100 0.886,0.889
101 0.879,0.859        101 0.886,0.889
102 0.880,0.860        102 0.887,0.890
103 0.880,0.860        103 0.888,0.890
104 0.882,0.861        104 0.888,0.890
105 0.882,0.861        105 0.887,0.890
106 0.882,0.862        106 0.887,0.891
107 0.883,0.863        107 0.887,0.890
108 0.883,0.863        108 0.886,0.895
109 0.883,0.864        109 0.885,0.895
110 0.884,0.863        110 0.885,0.895
111 0.884,0.864        111 0.887,0.895
112 0.885,0.865        112 0.886,0.895
113 0.886,0.865        113 0.886,0.895
114 0.886,0.865        114 0.887,0.895
115 0.887,0.866        115 0.886,0.895
116 0.888,0.867        116 0.887,0.896
117 0.887,0.867        117 0.887,0.896
118 0.884,0.866        118 0.888,0.896
119 0.884,0.867        119 0.887,0.896
120 0.884,0.866        120 0.887,0.896
121 0.888,0.868        121 0.887,0.896
122 0.889,0.870        122 0.887,0.896
123 0.889,0.870        123 0.887,0.896
124 0.890,0.870        124 0.887,0.896
125 0.891,0.871        125 0.886,0.895
126 0.891,0.872        126 0.886,0.895
127 0.892,0.872        127 0.887,0.896
128 0.891,0.872        128 0.889,0.897
129 0.889,0.871        129 0.890,0.891
130 0.888,0.871        130 0.890,0.892
131 0.889,0.872        131 0.890,0.891
132 0.888,0.871        132 0.890,0.892
133 0.889,0.871        133 0.891,0.892
134 0.890,0.871        134 0.890,0.891
135 0.892,0.873        135 0.890,0.891
136 0.893,0.874        136 0.890,0.891
137 0.893,0.874        137 0.890,0.891
138 0.893,0.874        138 0.890,0.891
139 0.895,0.875        139 0.890,0.891
140 0.895,0.876        140 0.890,0.891
141 0.896,0.876        141 0.890,0.891
142 0.896,0.877        142 0.890,0.891
143 0.897,0.876        143 0.890,0.892
144 0.898,0.878        144 0.891,0.892
145 0.899,0.878        145 0.891,0.892
146 0.900,0.879        146 0.891,0.892
147 0.901,0.880        147 0.892,0.893
148 0.901,0.881        148 0.891,0.893
149 0.902,0.882        149 0.891,0.893
150 0.903,0.882        150 0.892,0.893
151 0.903,0.882        151 0.891,0.893
152 0.903,0.883        152 0.891,0.893
153 0.904,0.884        153 0.891,0.893
154 0.904,0.884        154 0.891,0.893
155 0.904,0.884        155 0.891,0.893
156 0.905,0.885        156 0.891,0.893
157 0.905,0.886        157 0.891,0.893
158 0.905,0.886        158 0.891,0.892
159 0.905,0.887        159 0.890,0.892
160 0.905,0.887        160 0.890,0.892
161 0.906,0.888        161 0.890,0.892
162 0.907,0.890        162 0.890,0.892
163 0.907,0.890        163 0.889,0.891
164 0.907,0.890        164 0.892,0.893
165 0.906,0.891        165 0.892,0.893
166 0.907,0.891        166 0.892,0.893
167 0.907,0.892        167 0.892,0.893
168 0.907,0.892        168 0.888,0.890
169 0.907,0.893        169 0.888,0.890
170 0.907,0.894        170 0.888,0.890
171 0.904,0.893        171 0.888,0.890
