       coarse                      fine        
1   0.844,0.835        1   0.807,0.804
2   0.848,0.840        2   0.811,0.808
3   0.850,0.844        3   0.812,0.808
4   0.846,0.847        4   0.809,0.810
5   0.850,0.850        5   0.810,0.811
6   0.850,0.851        6   0.812,0.814
7   0.853,0.851        7   0.818,0.813
8   0.856,0.851        8   0.813,0.813
9   0.861,0.857        9   0.815,0.813
10  0.863,0.865        10  0.820,0.818
11  0.864,0.860        11  0.830,0.826
12  0.865,0.867        12  0.835,0.832
13  0.867,0.870        13  0.844,0.843
14  0.869,0.871        14  0.845,0.844
15  0.869,0.872        15  0.850,0.850
16  0.873,0.870        16  0.852,0.853
17  0.874,0.869        17  0.850,0.849
18  0.873,0.869        18  0.848,0.847
19  0.876,0.871        19  0.848,0.843
20  0.878,0.875        20  0.849,0.846
21  0.877,0.874        21  0.854,0.848
22  0.877,0.874        22  0.851,0.847
23  0.878,0.875        23  0.854,0.849
24  0.879,0.875        24  0.851,0.845
25  0.879,0.876        25  0.850,0.845
26  0.880,0.877        26  0.859,0.854
27  0.882,0.878        27  0.857,0.854
28  0.888,0.882        28  0.858,0.854
29  0.888,0.882        29  0.858,0.854
30  0.886,0.881        30  0.858,0.854
31  0.888,0.888        31  0.864,0.866
32  0.891,0.889        32  0.865,0.867
33  0.891,0.889        33  0.864,0.863
34  0.890,0.889        34  0.865,0.863
35  0.890,0.889        35  0.867,0.865
36  0.893,0.892        36  0.873,0.868
37  0.892,0.892        37  0.873,0.869
38  0.892,0.892        38  0.872,0.867
39  0.892,0.891        39  0.874,0.870
40  0.892,0.892        40  0.874,0.870
41  0.892,0.892        41  0.874,0.869
42  0.892,0.892        42  0.874,0.870
43  0.892,0.893        43  0.875,0.871
44  0.892,0.893        44  0.877,0.873
45  0.892,0.894        45  0.878,0.874
46  0.892,0.894        46  0.878,0.874
47  0.892,0.895        47  0.876,0.873
48  0.892,0.895        48  0.878,0.875
49  0.892,0.895        49  0.876,0.875
50  0.892,0.895        50  0.875,0.874
51  0.891,0.894        51  0.873,0.873
52  0.892,0.895        52  0.874,0.874
53  0.892,0.895        53  0.874,0.874
54  0.892,0.895        54  0.871,0.878
55  0.892,0.895        55  0.871,0.878
56  0.893,0.895        56  0.870,0.877
57  0.893,0.896        57  0.870,0.878
58  0.890,0.894        58  0.870,0.878
59  0.892,0.893        59  0.868,0.877
60  0.893,0.895        60  0.869,0.878
61  0.893,0.890        61  0.869,0.877
62  0.893,0.890        62  0.870,0.877
63  0.896,0.891        63  0.869,0.877
64  0.896,0.892        64  0.869,0.877
65  0.897,0.892        65  0.872,0.879
66  0.898,0.892        66  0.872,0.879
67  0.898,0.892        67  0.873,0.880
68  0.898,0.892        68  0.873,0.880
69  0.899,0.900        69  0.872,0.880
70  0.900,0.900        70  0.871,0.881
71  0.902,0.895        71  0.874,0.883
72  0.902,0.901        72  0.882,0.887
73  0.902,0.896        73  0.885,0.890
74  0.903,0.895        74  0.886,0.890
75  0.903,0.895        75  0.888,0.891
76  0.905,0.895        76  0.889,0.891
77  0.904,0.896        77  0.889,0.892
78  0.904,0.896        78  0.888,0.891
79  0.906,0.897        79  0.888,0.891
80  0.905,0.896        80  0.888,0.891
81  0.905,0.897        81  0.888,0.891
82  0.906,0.897        82  0.887,0.890
83  0.905,0.896        83  0.888,0.891
84  0.905,0.897        84  0.888,0.890
85  0.905,0.896        85  0.887,0.890
86  0.905,0.896        86  0.885,0.888
87  0.905,0.897        87  0.882,0.886
88  0.905,0.897        88  0.885,0.888
89  0.904,0.895        89  0.884,0.887
90  0.905,0.896        90  0.884,0.887
91  0.905,0.896        91  0.884,0.888
92  0.905,0.896        92  0.884,0.888
93  0.905,0.897        93  0.885,0.889
94  0.905,0.897        94  0.886,0.890
95  0.905,0.897        95  0.887,0.890
96  0.905,0.897        96  0.886,0.889
97  0.905,0.897        97  0.887,0.889
98  0.904,0.897        98  0.886,0.889
99  0.904,0.896        99  0.887,0.889
100 0.904,0.896        100 0.884,0.888
101 0.904,0.896        101 0.884,0.888
102 0.904,0.896        102 0.884,0.888
103 0.903,0.895        103 0.885,0.888
104 0.902,0.895        104 0.886,0.890
105 0.902,0.895        105 0.887,0.890
106 0.902,0.894        106 0.887,0.890
107 0.902,0.894        107 0.887,0.891
108 0.903,0.894        108 0.884,0.888
109 0.903,0.893        109 0.886,0.888
110 0.903,0.894        110 0.885,0.887
111 0.903,0.893        111 0.886,0.888
112 0.903,0.893        112 0.886,0.888
113 0.903,0.894        113 0.885,0.888
114 0.904,0.894        114 0.882,0.887
115 0.904,0.893        115 0.882,0.886
116 0.904,0.893        116 0.880,0.885
117 0.904,0.894        117 0.878,0.885
118 0.903,0.893        118 0.878,0.885
119 0.902,0.892        119 0.877,0.885
120 0.901,0.892        120 0.879,0.886
121 0.902,0.892        121 0.880,0.886
122 0.900,0.891        122 0.881,0.887
123 0.899,0.890        123 0.882,0.887
124 0.901,0.891        124 0.882,0.887
125 0.901,0.891        125 0.882,0.888
126 0.901,0.891        126 0.882,0.887
127 0.901,0.891        127 0.881,0.887
128 0.901,0.891        128 0.882,0.888
129 0.901,0.892        129 0.882,0.888
130 0.901,0.892        130 0.883,0.888
131 0.900,0.891        131 0.883,0.888
132 0.900,0.891        132 0.885,0.890
133 0.900,0.890        133 0.884,0.889
134 0.900,0.890        134 0.883,0.889
135 0.900,0.890        135 0.885,0.890
136 0.899,0.889        136 0.883,0.888
137 0.900,0.891        137 0.884,0.889
138 0.900,0.891        138 0.885,0.890
139 0.900,0.891        139 0.885,0.890
140 0.900,0.891        140 0.885,0.890
141 0.899,0.891        141 0.886,0.890
142 0.899,0.890        142 0.887,0.891
143 0.899,0.890        143 0.886,0.891
144 0.899,0.891        144 0.886,0.891
145 0.899,0.891        145 0.883,0.890
146 0.899,0.891        146 0.883,0.890
147 0.900,0.891        147 0.882,0.890
148 0.903,0.892        148 0.883,0.891
149 0.903,0.892        149 0.883,0.891
150 0.903,0.892        150 0.883,0.891
151 0.903,0.892        151 0.883,0.891
152 0.903,0.892        152 0.884,0.892
153 0.903,0.892        153 0.884,0.892
154 0.904,0.894        154 0.884,0.887
155 0.904,0.895        155 0.884,0.892
156 0.904,0.895        156 0.885,0.893
157 0.904,0.895        157 0.885,0.894
158 0.904,0.895        158 0.885,0.893
159 0.905,0.896        159 0.887,0.889
160 0.905,0.896        160 0.886,0.888
161 0.905,0.896        161 0.886,0.888
162 0.905,0.896        162 0.887,0.888
163 0.905,0.895        163 0.887,0.888
164 0.904,0.895        164 0.887,0.889
165 0.905,0.896        165 0.887,0.889
166 0.905,0.896        166 0.887,0.889
167 0.907,0.897        167 0.887,0.889
168 0.907,0.896        168 0.887,0.889
169 0.906,0.895        169 0.886,0.889
170 0.905,0.894        170 0.887,0.890
171 0.905,0.894        171 0.888,0.890
