       coarse                      fine        
1   0.838,0.837        1   0.813,0.809
2   0.837,0.838        2   0.811,0.806
3   0.838,0.839        3   0.815,0.808
4   0.839,0.844        4   0.817,0.809
5   0.843,0.847        5   0.823,0.814
6   0.841,0.847        6   0.825,0.817
7   0.842,0.849        7   0.821,0.816
8   0.844,0.850        8   0.828,0.824
9   0.842,0.848        9   0.827,0.827
10  0.843,0.849        10  0.834,0.835
11  0.842,0.850        11  0.840,0.843
12  0.844,0.853        12  0.839,0.847
13  0.844,0.854        13  0.840,0.847
14  0.846,0.856        14  0.846,0.853
15  0.843,0.852        15  0.847,0.856
16  0.847,0.855        16  0.848,0.858
17  0.851,0.858        17  0.848,0.857
18  0.853,0.860        18  0.847,0.858
19  0.853,0.861        19  0.848,0.860
20  0.853,0.861        20  0.857,0.865
21  0.853,0.862        21  0.857,0.866
22  0.852,0.862        22  0.857,0.865
23  0.857,0.865        23  0.859,0.868
24  0.858,0.865        24  0.859,0.868
25  0.858,0.866        25  0.866,0.874
26  0.862,0.869        26  0.867,0.874
27  0.864,0.868        27  0.867,0.873
28  0.866,0.870        28  0.869,0.875
29  0.868,0.872        29  0.869,0.876
30  0.871,0.872        30  0.871,0.880
31  0.870,0.872        31  0.873,0.880
32  0.871,0.873        32  0.874,0.882
33  0.871,0.874        33  0.877,0.884
34  0.876,0.876        34  0.879,0.886
35  0.876,0.876        35  0.880,0.882
36  0.879,0.879        36  0.877,0.881
37  0.878,0.879        37  0.876,0.880
38  0.880,0.879        38  0.875,0.880
39  0.881,0.880        39  0.873,0.880
40  0.881,0.880        40  0.873,0.880
41  0.884,0.882        41  0.875,0.880
42  0.884,0.882        42  0.877,0.881
43  0.883,0.880        43  0.880,0.885
44  0.883,0.880        44  0.878,0.884
45  0.884,0.881        45  0.878,0.884
46  0.884,0.882        46  0.879,0.885
47  0.884,0.881        47  0.878,0.885
48  0.885,0.883        48  0.879,0.886
49  0.886,0.885        49  0.879,0.887
50  0.886,0.884        50  0.880,0.887
51  0.887,0.884        51  0.879,0.886
52  0.887,0.885        52  0.879,0.886
53  0.887,0.885        53  0.878,0.885
54  0.887,0.885        54  0.877,0.884
55  0.887,0.886        55  0.874,0.882
56  0.887,0.885        56  0.875,0.882
57  0.889,0.887        57  0.875,0.882
58  0.889,0.886        58  0.875,0.882
59  0.889,0.886        59  0.879,0.884
60  0.887,0.885        60  0.879,0.884
61  0.888,0.885        61  0.878,0.884
62  0.888,0.886        62  0.878,0.885
63  0.893,0.888        63  0.879,0.885
64  0.892,0.888        64  0.880,0.893
65  0.892,0.888        65  0.879,0.893
66  0.892,0.887        66  0.880,0.893
67  0.892,0.888        67  0.880,0.892
68  0.892,0.887        68  0.880,0.892
