['batch', 160, 'FFR', 0.5, 'fineCost', 1, 'addFine', 80, 'addCoarse', 80]
all           0      1    2    3    4    5    6    7    8    
1      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
3      2010   1914   1    19   32   19   1    11   5    8    
4      2010   1914   1    19   32   19   1    10   6    8    
5      2010   1914   1    18   33   19   1    10   6    8    
6      2010   1914   1    18   33   19   1    10   6    8    
7      2010   1913   2    18   33   19   1    10   6    8    
8      2010   1913   2    18   33   19   1    10   6    8    
9      2009   1913   2    18   32   19   2    10   6    7    
10     2009   1913   1    19   32   19   1    11   6    7    
Total  20098  19136  13   185  324  190  11   104  59   76   
train         0      1    2    3    4    5    6    7    8    
2      2010   1914   1    19   32   19   1    11   6    7    
3      2010   1914   1    19   32   19   1    11   5    8    
4      2010   1914   1    19   32   19   1    10   6    8    
5      2010   1914   1    18   33   19   1    10   6    8    
6      2010   1914   1    18   33   19   1    10   6    8    
7      2010   1913   2    18   33   19   1    10   6    8    
8      2010   1913   2    18   33   19   1    10   6    8    
9      2009   1913   2    18   32   19   2    10   6    7    
10     2009   1913   1    19   32   19   1    11   6    7    
Total  18088  17222  12   166  292  171  10   93   53   69   
test          0      1    2    3    4    5    6    7    8    
1      2010   1914   1    19   32   19   1    11   6    7    
Total  2010   1914   1    19   32   19   1    11   6    7    
Classes             
0         17222     
1         12        
2         166       
3         292       
4         171       
5         10        
6         93        
7         53        
8         69        
Total     18088     

Shape: 450       

['rnd', 1, 'fold', 1, 'lvl', 'coarse', 'conf', 1296, 618]
['rnd', 1, 'fold', 1, 'lvl', 'coarse', 'conf', 13, 83]
['rnd', 1, 'fold', 1, 'lvl', 'coarse', 'acc', 0.68606965174129353, 'f1', 0.20828105395232119]
['rnd', 1, 'fold', 1, 'lvl', 'coarse', 'pr', 0.8465252765151039, 'roc', 0.8546619209334726]
['rnd', 1, 'fold', 1, 'lvl', 'coarse', 'rndTime', '0.08']
['rnd', 1, 'fold', 1, 'lvl', 'fine', 'conf', 1879, 35]
['rnd', 1, 'fold', 1, 'lvl', 'fine', 'conf', 78, 18]
['rnd', 1, 'fold', 1, 'lvl', 'fine', 'acc', 0.94378109452736314, 'f1', 0.2416107382550336]
['rnd', 1, 'fold', 1, 'lvl', 'fine', 'pr', 0.80970442630169204, 'roc', 0.81122648902821315]
['rnd', 1, 'fold', 1, 'lvl', 'fine', 'rndTime', '0.07']
['rnd', 1, 'fold', 1, 'combPred', 'conf', 1292, 622]
['rnd', 1, 'fold', 1, 'combPred', 'conf', 13, 83]
['rnd', 1, 'fold', 1, 'combPred', 'acc', 0.6840796019900498, 'f1', 0.20724094881398256]
['rnd', 1, 'fold', 1, 'combPred', 'combConfMat', 'tn', 'tot', 1292, 'coarse', 1125, 'fine', 167]
['rnd', 1, 'fold', 1, 'combPred', 'combConfMat', 'fp', 'tot', 622, 'coarse', 618, 'fine', 4]
['rnd', 1, 'fold', 1, 'combPred', 'combConfMat', 'fn', 'tot', 13, 'coarse', 13, 'fine', 0]
['rnd', 1, 'fold', 1, 'combPred', 'combConfMat', 'tp', 'tot', 83, 'coarse', 83, 'fine', 0]
['FFR', '0_5', 'fold', 1, 'comb', 'pr', 0.8459726642595049, 'roc', 0.85350269940787193]
['rnd', 1, 'fold', 1, 'lvl', 'coarse', (0, 952), (1, 10), (2, 11), (3, 16), (4, 11), (5, 10), (6, 10), (7, 10), (8, 10), ('tot', 1040)]
['rnd', 1, 'fold', 1, 'lvl', 'fine', (0, 952), (1, 10), (2, 11), (3, 16), (4, 11), (5, 10), (6, 10), (7, 10), (8, 10), ('tot', 1040)]
['rnd', 1, 'fold', 1, 'rndTimeTot', '0.18']
['Total Time:', '0hr 0m 3.03sec']
['coarse', 'cls', 0, 'ind', 8587, 'mostUncert', 0.00015091769989949988]
['coarse', 'cls', 0, 'ind', 1208, 'mostUncert', 0.00022555487649927874]
['coarse', 'cls', 0, 'ind', 6437, 'mostUncert', 0.00023717839247427985]
['coarse', 'cls', 0, 'ind', 12300, 'mostUncert', 0.00039355861478562737]
['coarse', 'cls', 0, 'ind', 12646, 'mostUncert', 0.00048200563229339188]
['coarse', 'cls', 0, 'ind', 6752, 'mostUncert', 0.00051164288009231118]
['coarse', 'cls', 0, 'ind', 4842, 'mostUncert', 0.00061942970364026184]
['coarse', 'cls', 0, 'ind', 125, 'mostUncert', 0.00062783770805274752]
['coarse', 'cls', 0, 'ind', 14208, 'mostUncert', 0.00074011948765828617]
['coarse', 'cls', 0, 'ind', 6227, 'mostUncert', 0.00076698412911380132]
['coarse', 'cls', 0, 'ind', 15858, 'mostUncert', 0.00083517915770769946]
['coarse', 'cls', 3, 'ind', 154, 'mostUncert', 0.00090142490985889445]
['coarse', 'cls', 0, 'ind', 8603, 'mostUncert', 0.00092141736039186295]
['coarse', 'cls', 0, 'ind', 5922, 'mostUncert', 0.00092944946303041842]
['coarse', 'cls', 0, 'ind', 11958, 'mostUncert', 0.00096223514785610809]
['coarse', 'cls', 0, 'ind', 12892, 'mostUncert', 0.00096306461354012107]
['coarse', 'cls', 0, 'ind', 12713, 'mostUncert', 0.00097974891632590655]
['coarse', 'cls', 0, 'ind', 7121, 'mostUncert', 0.00099307704248025042]
['coarse', 'cls', 0, 'ind', 3868, 'mostUncert', 0.0009972832117137731]
['coarse', 'cls', 0, 'ind', 4523, 'mostUncert', 0.0010580696431630177]
['coarse', 'cls', 0, 'ind', 10040, 'mostUncert', 0.0013452784380578731]
['coarse', 'cls', 0, 'ind', 1855, 'mostUncert', 0.0014314583535124381]
['coarse', 'cls', 3, 'ind', 144, 'mostUncert', 0.0015032139788367926]
['coarse', 'cls', 0, 'ind', 3436, 'mostUncert', 0.0015278739759753135]
['coarse', 'cls', 0, 'ind', 14860, 'mostUncert', 0.0017730132438654178]
['coarse', 'cls', 0, 'ind', 14566, 'mostUncert', 0.0018363796250318032]
['coarse', 'cls', 0, 'ind', 4970, 'mostUncert', 0.0019441241223159267]
['coarse', 'cls', 7, 'ind', 30, 'mostUncert', 0.001972508073670054]
['coarse', 'cls', 0, 'ind', 6194, 'mostUncert', 0.0022176417334548448]
['coarse', 'cls', 0, 'ind', 5670, 'mostUncert', 0.0022286890311333796]
['coarse', 'cls', 0, 'ind', 13717, 'mostUncert', 0.0023508263224301107]
['coarse', 'cls', 0, 'ind', 10583, 'mostUncert', 0.0024017351389390429]
['coarse', 'cls', 0, 'ind', 14242, 'mostUncert', 0.0024266065339035858]
['coarse', 'cls', 0, 'ind', 231, 'mostUncert', 0.0027680855705790597]
['coarse', 'cls', 0, 'ind', 10299, 'mostUncert', 0.0028615696255673839]
['coarse', 'cls', 0, 'ind', 14165, 'mostUncert', 0.0028684027384758837]
['coarse', 'cls', 0, 'ind', 11778, 'mostUncert', 0.0028768044693439077]
['coarse', 'cls', 0, 'ind', 4787, 'mostUncert', 0.0029250651836126851]
['coarse', 'cls', 0, 'ind', 10202, 'mostUncert', 0.0029843514587371001]
['coarse', 'cls', 0, 'ind', 12828, 'mostUncert', 0.0031643807648837341]
['coarse', 'cls', 0, 'ind', 6114, 'mostUncert', 0.0031740747490571763]
['coarse', 'cls', 0, 'ind', 10983, 'mostUncert', 0.003397394004726384]
['coarse', 'cls', 0, 'ind', 487, 'mostUncert', 0.0035389190018065841]
['coarse', 'cls', 0, 'ind', 5881, 'mostUncert', 0.0037569241056203406]
['coarse', 'cls', 0, 'ind', 10728, 'mostUncert', 0.0038219328904716132]
['coarse', 'cls', 3, 'ind', 209, 'mostUncert', 0.0038891065924937518]
['coarse', 'cls', 0, 'ind', 1217, 'mostUncert', 0.0041509802830264064]
