|l||l||l||l||l||l||l||l|
coarse-tn & fine-tn & coarse-fn & fine-fn & coarse-fp & fine-fp & coarse-tp & fine-tp \\
1460 & 1849 & 454 & 65 & 14 & 46 & 82 & 50 \\
1540 & 1851 & 374 & 63 & 22 & 49 & 74 & 47 \\
1508 & 1851 & 406 & 63 & 12 & 43 & 84 & 53 \\
1486 & 1853 & 428 & 61 & 19 & 53 & 77 & 43 \\
1521 & 1859 & 393 & 55 & 20 & 52 & 76 & 44 \\
1501 & 1843 & 413 & 71 & 19 & 52 & 77 & 44 \\
1496 & 1841 & 417 & 72 & 17 & 49 & 80 & 48 \\
1524 & 1852 & 389 & 61 & 25 & 59 & 72 & 38 \\
1498 & 1841 & 415 & 72 & 18 & 51 & 77 & 44 \\
1497 & 1836 & 416 & 77 & 13 & 57 & 83 & 39 \\
avg 1503.1 & avg 1847.6 & avg 410.5 & avg 66.0 & avg 17.9 & avg 51.1 & avg 78.2 & avg 45.0 \\
