|l||l||l||l||l||l||l||l|
coarse-pr & fine-pr & coarse-roc & fine-roc & coarse-acc & fine-acc & coarse-f1 & fine-f1 \\
0.904 & 0.912 & 0.883 & 0.891 & 0.940 & 0.957 & 0.508 & 0.491 \\
0.885 & 0.889 & 0.863 & 0.870 & 0.941 & 0.957 & 0.494 & 0.456 \\
0.886 & 0.887 & 0.851 & 0.858 & 0.944 & 0.959 & 0.477 & 0.461 \\
0.893 & 0.884 & 0.874 & 0.858 & 0.935 & 0.956 & 0.472 & 0.467 \\
0.879 & 0.874 & 0.856 & 0.856 & 0.931 & 0.953 & 0.420 & 0.390 \\
0.882 & 0.878 & 0.859 & 0.858 & 0.934 & 0.956 & 0.436 & 0.418 \\
0.898 & 0.892 & 0.882 & 0.869 & 0.942 & 0.959 & 0.473 & 0.458 \\
0.889 & 0.893 & 0.872 & 0.869 & 0.938 & 0.958 & 0.461 & 0.472 \\
0.913 & 0.913 & 0.901 & 0.907 & 0.942 & 0.960 & 0.491 & 0.491 \\
0.898 & 0.899 & 0.892 & 0.882 & 0.938 & 0.959 & 0.446 & 0.465 \\
avg 0.893 & avg 0.892 & avg 0.873 & avg 0.872 & avg 0.939 & avg 0.957 & avg 0.468 & avg 0.457 \\
