|l||l||l||l||l||l||l||l|
coarse-pr & fine-pr & coarse-roc & fine-roc & coarse-acc & fine-acc & coarse-f1 & fine-f1 \\
0.9040877915298275 & 0.9115609413534739 & 0.8828642023685128 & 0.8914576802507838 & 0.9402985074626866 & 0.9567164179104478 & 0.5081967213114754 & 0.4912280701754386 \\
0.8854485694504493 & 0.8886714681355834 & 0.8633370341344481 & 0.8699930337861371 & 0.9407960199004975 & 0.9572139303482587 & 0.49361702127659574 & 0.4556962025316456 \\
0.8855004250010083 & 0.8872887447424891 & 0.8512658916753744 & 0.8583082985022641 & 0.9442786069651742 & 0.9592039800995025 & 0.47663551401869164 & 0.4605263157894737 \\
0.8932311408641764 & 0.884383156424576 & 0.874085684430512 & 0.8582756443747822 & 0.9353233830845771 & 0.9557213930348258 & 0.4715447154471545 & 0.46706586826347307 \\
0.8787646394713956 & 0.8736720411437058 & 0.8558864507140368 & 0.8558810083594566 & 0.9313432835820895 & 0.9532338308457712 & 0.42016806722689076 & 0.38961038961038963 \\
0.8817434231608974 & 0.8783842580447583 & 0.8589504963427377 & 0.8579599878091257 & 0.9343283582089552 & 0.9557213930348258 & 0.4358974358974359 & 0.41830065359477125 \\
0.8984125524678899 & 0.8916960037888545 & 0.88167772322848 & 0.8687843889610425 & 0.9422885572139303 & 0.9587064676616915 & 0.4727272727272728 & 0.45751633986928103 \\
0.8887323719725488 & 0.8928985619878999 & 0.87152472771757 & 0.8694984398661355 & 0.9383084577114428 & 0.9577114427860697 & 0.4608695652173913 & 0.47204968944099385 \\
0.91328459096774 & 0.9129639110415658 & 0.9007813574710427 & 0.9067735989215064 & 0.9422310756972112 & 0.9596613545816733 & 0.49122807017543846 & 0.49056603773584906 \\
0.898262217806907 & 0.8985056774650965 & 0.892244946854853 & 0.8824817041296398 & 0.93827775012444 & 0.9586859133897462 & 0.44642857142857145 & 0.46451612903225803 \\
avg 0.9 & avg 0.9 & avg 0.9 & avg 0.9 & avg 0.9 & avg 1.0 & avg 0.5 & avg 0.5 \\
