rnd  fold roc_auc   pr_auc     
1    1    0.741     0.912      
1    2    0.667     0.810      
1    3    0.630     0.865      
1    4    0.667     0.872      
1    5    0.875     0.964      
1    6    0.667     0.798      
1    7    0.542     0.755      
1    8    0.333     0.620      
1    9    0.500     0.780      
1    10   0.750     0.925      
Rnd  1    Sec       10.92      
rnd  fold roc_auc   pr_auc     
2    1    0.915     0.863      
2    2    0.829     0.603      
2    3    0.838     0.774      
2    4    1.000     1.000      
2    5    0.760     0.543      
2    6    0.731     0.568      
2    7    0.885     0.738      
2    8    0.769     0.536      
2    9    0.769     0.615      
2    10   0.861     0.787      
Rnd  2    Sec       113.54     
rnd  fold roc_auc   pr_auc     
3    1    0.787     0.509      
3    2    0.773     0.476      
3    3    0.889     0.804      
3    4    0.859     0.514      
3    5    0.891     0.750      
3    6    0.870     0.545      
3    7    0.828     0.672      
3    8    0.960     0.914      
3    9    0.758     0.643      
3    10   0.808     0.604      
Rnd  3    Sec       110.91     
rnd  fold roc_auc   pr_auc     
4    1    0.806     0.451      
4    2    0.819     0.486      
4    3    0.850     0.512      
4    4    0.774     0.482      
4    5    0.844     0.539      
4    6    0.840     0.454      
4    7    0.733     0.481      
4    8    0.788     0.455      
4    9    0.858     0.605      
4    10   0.681     0.435      
Rnd  4    Sec       111.67     
[['rnd', 'fold', 'roc_auc', 'pr_auc'], [1, 1, 0.7407407407407407, 0.9119007535674204], [1, 2, 0.66666666666666674, 0.80951980118646771], [1, 3, 0.62962962962962965, 0.86494308160974831], [1, 4, 0.66666666666666674, 0.87192460317460319], [1, 5, 0.875, 0.96420454545454548], [1, 6, 0.66666666666666674, 0.79794146825396828], [1, 7, 0.54166666666666674, 0.75525793650793649], [1, 8, 0.33333333333333337, 0.61971049783549781], [1, 9, 0.5, 0.78022637085137081], [1, 10, 0.75, 0.92462121212121207], ['Rnd', '1', 'Sec', '10.92'], ['rnd', 'fold', 'roc_auc', 'pr_auc'], [2, 1, 0.9145299145299145, 0.86348358431691774], [2, 2, 0.829059829059829, 0.60329238662571993], [2, 3, 0.83760683760683763, 0.77419617419617426], [2, 4, 1.0, 1.0], [2, 5, 0.75961538461538458, 0.54310550560550552], [2, 6, 0.73076923076923084, 0.56757339882339886], [2, 7, 0.88461538461538458, 0.73754960317460316], [2, 8, 0.76923076923076927, 0.53574689199689196], [2, 9, 0.76923076923076927, 0.61508942446442438], [2, 10, 0.86111111111111116, 0.78682659932659949], ['Rnd', '2', 'Sec', '113.54'], ['rnd', 'fold', 'roc_auc', 'pr_auc'], [3, 1, 0.78743961352656999, 0.50904278999867236], [3, 2, 0.77294685990338163, 0.4761137011137011], [3, 3, 0.88888888888888906, 0.80402208539463449], [3, 4, 0.85869565217391308, 0.51402867965367971], [3, 5, 0.89130434782608692, 0.74998681873681883], [3, 6, 0.86956521739130432, 0.54488705738705734], [3, 7, 0.82828282828282829, 0.67241454986553029], [3, 8, 0.95959595959595956, 0.91359720526387211], [3, 9, 0.75757575757575757, 0.64328363531262078], [3, 10, 0.80808080808080818, 0.60427620219286882], ['Rnd', '3', 'Sec', '110.91'], ['rnd', 'fold', 'roc_auc', 'pr_auc'], [4, 1, 0.80625000000000002, 0.45100745392200764], [4, 2, 0.81874999999999998, 0.48635403524064519], [4, 3, 0.85000000000000009, 0.51165029415029417], [4, 4, 0.77430555555555547, 0.48181063034004212], [4, 5, 0.84375, 0.53873022402434168], [4, 6, 0.84027777777777779, 0.45441757316757314], [4, 7, 0.73263888888888884, 0.48088661161458096], [4, 8, 0.78819444444444442, 0.45502760575757167], [4, 9, 0.85763888888888884, 0.60542541608718081], [4, 10, 0.6806451612903226, 0.43498687808996361], ['Rnd', '4', 'Sec', '111.67']]
