rnd  fold roc_auc   pr_auc     
1    1    0.750     0.662      
1    2    0.917     0.792      
1    3    0.917     0.792      
1    4    0.667     0.292      
1    5    0.333     0.100      
1    6    0.167     0.083      
1    7    0.600     0.633      
1    8    0.700     0.333      
1    9    0.800     0.417      
1    10   0.800     0.417      
Rnd  1    Sec       8.6        
rnd  fold roc_auc   pr_auc     
2    1    0.385     0.102      
2    2    0.808     0.258      
2    3    0.538     0.128      
2    4    0.654     0.161      
2    5    0.154     0.042      
2    6    0.846     0.167      
2    7    0.833     0.287      
2    8    0.833     0.292      
2    9    0.708     0.196      
2    10   0.750     0.225      
Rnd  2    Sec       12.65      
rnd  fold roc_auc   pr_auc     
3    1    0.650     0.114      
3    2    0.800     0.183      
3    3    0.775     0.203      
3    4    0.850     0.217      
3    5    0.550     0.050      
3    6    0.500     0.045      
3    7    0.579     0.542      
3    8    0.974     0.792      
3    9    0.842     0.225      
3    10   0.658     0.143      
Rnd  3    Sec       14.06      
rnd  fold roc_auc   pr_auc     
4    1    0.869     0.662      
4    2    0.601     0.300      
4    3    0.893     0.786      
4    4    0.533     0.293      
4    5    0.962     0.905      
4    6    0.750     0.427      
4    7    0.669     0.360      
4    8    0.737     0.637      
4    9    0.838     0.692      
4    10   0.544     0.286      
Rnd  4    Sec       15.73      
rnd  fold roc_auc   pr_auc     
5    1    0.853     0.619      
5    2    0.946     0.808      
5    3    0.866     0.698      
5    4    0.770     0.422      
5    5    0.787     0.381      
5    6    0.806     0.490      
5    7    0.866     0.613      
5    8    0.870     0.685      
5    9    0.773     0.479      
5    10   0.648     0.468      
Rnd  5    Sec       17.63      
rnd  fold roc_auc   pr_auc     
6    1    0.812     0.660      
6    2    0.838     0.642      
6    3    0.736     0.528      
6    4    0.755     0.616      
6    5    0.738     0.629      
6    6    0.570     0.427      
6    7    0.719     0.635      
6    8    0.820     0.833      
6    9    0.847     0.824      
6    10   0.711     0.665      
Rnd  6    Sec       20.97      
rnd  fold roc_auc   pr_auc     
7    1    0.707     0.563      
7    2    0.815     0.699      
7    3    0.846     0.748      
7    4    0.820     0.663      
7    5    0.906     0.769      
7    6    0.898     0.809      
7    7    0.800     0.561      
7    8    0.784     0.546      
7    9    0.959     0.941      
7    10   0.749     0.668      
Rnd  7    Sec       24.41      
rnd  fold roc_auc   pr_auc     
8    1    0.829     0.606      
8    2    0.960     0.920      
8    3    0.821     0.678      
8    4    0.716     0.579      
8    5    0.876     0.797      
8    6    0.933     0.841      
8    7    0.873     0.775      
8    8    0.847     0.763      
8    9    0.912     0.708      
8    10   0.780     0.650      
Rnd  8    Sec       28.34      
rnd  fold roc_auc   pr_auc     
9    1    0.929     0.791      
9    2    0.707     0.421      
9    3    0.899     0.602      
9    4    0.884     0.777      
9    5    0.731     0.472      
9    6    0.750     0.513      
9    7    0.822     0.675      
9    8    0.940     0.909      
9    9    0.901     0.706      
9    10   0.818     0.709      
Rnd  9    Sec       31.25      
rnd  fold roc_auc   pr_auc     
10   1    0.888     0.634      
10   2    0.842     0.554      
10   3    0.756     0.547      
10   4    0.801     0.707      
10   5    0.844     0.548      
10   6    0.908     0.753      
10   7    0.848     0.623      
10   8    0.846     0.616      
