       coarse                      fine        
1   0.817,0.921,0.734       1   0.783,0.373,0.283
2   0.790,0.655,0.737       2   0.829,0.406,0.406
3   0.843,0.607,0.764       3   0.847,0.460,0.457
4   0.856,0.562,0.755       4   0.868,0.503,0.517
5   0.857,0.565,0.754       5   0.883,0.541,0.550
6   0.854,0.500,0.749       6   0.900,0.595,0.601
7   0.847,0.471,0.715       7   0.908,0.611,0.631
8   0.847,0.453,0.736       8   0.911,0.631,0.659
9   0.839,0.434,0.736       9   0.916,0.647,0.674
10  0.843,0.465,0.726       10  0.917,0.652,0.679
11  0.837,0.413,0.715       11  0.921,0.666,0.695
12  0.840,0.441,0.726       12  0.927,0.694,0.711
13  0.835,0.428,0.704       13  0.930,0.691,0.732
14  0.834,0.448,0.692       14  0.930,0.696,0.730
15  0.830,0.426,0.691       15  0.931,0.706,0.749
16  0.832,0.421,0.673       16  0.932,0.705,0.751
17  0.834,0.435,0.668       17  0.935,0.720,0.757
18  0.827,0.426,0.665       18  0.938,0.723,0.756
19  0.832,0.435,0.661       19  0.938,0.725,0.772
20  0.831,0.417,0.653       20  0.941,0.740,0.770
21  0.833,0.420,0.639       21  0.942,0.742,0.769
22  0.833,0.438,0.634       22  0.942,0.737,0.766
23  0.833,0.423,0.614       23  0.944,0.740,0.775
24  0.832,0.425,0.617       24  0.944,0.741,0.762
25  0.840,0.425,0.603       25  0.946,0.745,0.766
26  0.838,0.420,0.614       26  0.947,0.750,0.776
27  0.833,0.429,0.592       27  0.947,0.751,0.767
28  0.839,0.435,0.593       28  0.948,0.753,0.766
29  0.841,0.430,0.585       29  0.949,0.756,0.775
30  0.848,0.413,0.579       30  0.950,0.759,0.765
31  0.841,0.417,0.558       31  0.951,0.762,0.776
32  0.845,0.422,0.557       32  0.952,0.766,0.776
33  0.842,0.420,0.526       33  0.952,0.769,0.773
34  0.840,0.408,0.512       34  0.951,0.760,0.775
35  0.843,0.403,0.517       35  0.953,0.778,0.771
36  0.853,0.429,0.512       36  0.954,0.776,0.773
37  0.846,0.418,0.508       37  0.954,0.776,0.784
38  0.853,0.420,0.487       38  0.955,0.780,0.782
39  0.842,0.430,0.447       39  0.956,0.778,0.769
40  0.842,0.413,0.446       40  0.955,0.781,0.782
41  0.846,0.433,0.451       41  0.956,0.780,0.772
42  0.849,0.417,0.452       42  0.957,0.788,0.774
43  0.848,0.407,0.444       43  0.956,0.782,0.751
44  0.847,0.403,0.434       44  0.957,0.788,0.742
45  0.849,0.404,0.437       45  0.958,0.789,0.716
46  0.855,0.411,0.439       46  0.958,0.790,0.731
47  0.848,0.393,0.439       47  0.958,0.788,0.735
48  0.854,0.401,0.444       48  0.958,0.791,0.734
49  0.853,0.401,0.438       49  0.959,0.794,0.727
50  0.854,0.400,0.436       50  0.959,0.796,0.720
51  0.854,0.401,0.434       51  0.959,0.796,0.720
52  0.857,0.407,0.439       52  0.960,0.795,0.715
53  0.857,0.401,0.440       53  0.959,0.793,0.708
54  0.854,0.404,0.438       54  0.960,0.799,0.710
55  0.860,0.406,0.439       55  0.959,0.794,0.694
56  0.859,0.407,0.429       56  0.960,0.798,0.702
57  0.859,0.402,0.445       57  0.960,0.801,0.703
58  0.857,0.392,0.437       58  0.960,0.800,0.700
59  0.860,0.416,0.449       59  0.960,0.802,0.702
60  0.860,0.404,0.435       60  0.960,0.804,0.696
61  0.858,0.398,0.431       61  0.960,0.801,0.680
62  0.862,0.401,0.434       62  0.960,0.801,0.676
63  0.856,0.401,0.428       63  0.961,0.804,0.681
64  0.858,0.395,0.430       64  0.961,0.810,0.680
65  0.856,0.397,0.419       65  0.961,0.805,0.680
66  0.860,0.403,0.422       66  0.961,0.804,0.667
67  0.863,0.409,0.419       67  0.961,0.809,0.654
68  0.860,0.401,0.422       68  0.960,0.807,0.625
69  0.858,0.399,0.412       69  0.961,0.804,0.617
70  0.858,0.406,0.410       70  0.962,0.809,0.626
71  0.856,0.403,0.393       71  0.961,0.810,0.615
72  0.859,0.393,0.394       72  0.962,0.810,0.609
73  0.858,0.402,0.393       73  0.962,0.812,0.602
74  0.856,0.401,0.394       74  0.962,0.812,0.598
75  0.857,0.393,0.404       75  0.962,0.815,0.599
76  0.861,0.392,0.410       76  0.963,0.816,0.591
77  0.864,0.394,0.410       77  0.963,0.817,0.594
78  0.862,0.396,0.413       78  0.962,0.817,0.585
79  0.860,0.390,0.418       79  0.962,0.819,0.590
80  0.862,0.393,0.417       80  0.963,0.819,0.594
81  0.858,0.382,0.408       81  0.963,0.819,0.571
82  0.865,0.397,0.408       82  0.963,0.817,0.586
83  0.866,0.396,0.412       83  0.964,0.822,0.582
84  0.862,0.391,0.405       84  0.964,0.822,0.585
85  0.866,0.385,0.415       85  0.965,0.827,0.597
86  0.864,0.390,0.411       86  0.965,0.826,0.575
87  0.861,0.387,0.410       87  0.965,0.827,0.584
88  0.858,0.382,0.403       88  0.965,0.829,0.576
89  0.859,0.376,0.406       89  0.965,0.828,0.576
90  0.859,0.376,0.407       90  0.965,0.831,0.566
91  0.861,0.375,0.411       91  0.966,0.830,0.571
92  0.859,0.376,0.406       92  0.966,0.832,0.567
93  0.858,0.375,0.412       93  0.967,0.836,0.556
94  0.861,0.380,0.401       94  0.966,0.834,0.557
95  0.864,0.378,0.408       95  0.966,0.835,0.551
96  0.862,0.373,0.410       96  0.966,0.836,0.558
