fold, roc_auc, pr_auc
1, 0.5, 0.216666666667
2, 0.666666666667, 0.291666666667
3, 0.75, 0.333333333333
4, 0.416666666667, 0.223214285714
5, 0.5, 0.125
6, 1.0, 1.0
7, 0.2, 0.175595238095
8, 0.9, 0.791666666667
9, 0.4, 0.238095238095
10, 0.5, 0.245833333333
1, 0.653846153846, 0.202777777778
2, 0.5, 0.119444444444
3, 0.884615384615, 0.6625
4, 0.461538461538, 0.113492063492
5, 0.923076923077, 0.25
6, 0.538461538462, 0.0714285714286
7, 0.666666666667, 0.183333333333
8, 0.791666666667, 0.258333333333
9, 0.708333333333, 0.223214285714
10, 0.458333333333, 0.119444444444
